Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
MedidorLSD;15/06/2023, 0:00:00;18925,85731111111;5832,906955555555;7017,488477777778;6085,391044444445;2075,6183333333333;315,4664;416,8766;1364,3260888888888;0,8929888888888889;0,8760444444444444;0,9254555555555557;0,8787888888888888;126,80268888888888;126,10707777777777;125,92179999999999;52,44458888888889;59,96338888888889;55,04161111111111
MedidorLSD;15/06/2023, 0:15:00;18279,087363737486;5821,999332591769;6716,688109010011;5740,576251390434;2157,6426696329254;318,5311568409344;637,1357842046718;1222,6685428253616;0,8927030033370411;0,8763292547274749;0,9230812013348165;0,870055617352614;127,14261401557286;126,44060066740823;126,31244716351502;52,22710789766407;57,65530589543938;52,21142380422692
MedidorLSD;15/06/2023, 0:30:00;18855,557877777777;5815,072066666667;6999,364122222222;6050,554911111111;2090,1285444444443;314,8610111111111;428,0962111111111;1368,4633333333334;0,8922444444444444;0,8747777777777778;0,9252444444444444;0,8781888888888889;127,25556666666667;126,55801111111111;126,32647777777778;52,18531111111111;59,68707777777778;54,59687777777778
MedidorLSD;15/06/2023, 0:45:00;18573,054322222222;5798,242044444444;6931,593944444444;5848,696688888888;2373,570366666667;334,8776888888889;625,8880888888889;1437,0149666666666;0,8917333333333334;0,8739666666666666;0,9248000000000001;0,8703;127,7212;126,96404444444444;126,77107777777778;51,869;59,00802222222222;53,07408888888889
MedidorLSD;15/06/2023, 1:00:00;18719,98712222222;5806,567077777778;6914,063355555555;6006,412011111111;2051,4013666666665;326,3362;433,7145;1311,2557;0,8919444444444444;0,8739888888888889;0,9231222222222223;0,8779999999999999;127,53418888888889;126,81828888888889;126,57957777777777;51,95576666666667;58,90328888888889;54,03017777777778
MedidorLSD;15/06/2023, 1:15:00;18174,4241;5803,773522222222;6598,1413555555555;5772,071166666667;1967,405688888889;342,50469999999996;538,6563222222222;1103,2419555555555;0,8923;0,8742555555555555;0,9210111111111112;0,8757222222222222;127,2004888888889;126,41178888888889;126,25112222222222;51,998799999999996;56,712833333333336;52,144466666666666
MedidorLSD;15/06/2023, 1:30:00;18601,109055555557;5820,023455555556;6783,2378;6001,346877777778;1877,2629666666667;335,6762777777778;386,4495;1171,409111111111;0,8931444444444445;0,8754000000000001;0,9220222222222223;0,8809333333333332;126,70585555555556;125,93932222222222;125,73905555555557;52,27527777777778;58,21866666666667;54,055188888888885
MedidorLSD;15/06/2023, 1:45:00;18628,387066666666;5825,0745;6876,094055555556;5932,808011111111;2122,5217222222223;326,0787;511,4642777777778;1305,6570222222224;0,8963666666666666;0,8782777777777777;0,9278333333333334;0,8797222222222222;125,89481111111111;125,13556666666666;124,93547777777779;52,53313333333333;59,25923333333333;54,04268888888889
MedidorLSD;15/06/2023, 2:00:00;18626,94781111111;5848,127577777778;6804,5488444444445;5979,026311111111;1873,8048666666666;308,7965222222222;418,44874444444446;1163,9094333333333;0,8971888888888889;0,8793;0,9258777777777779;0,8842444444444444;125,90521111111111;125,19357777777778;124,96836666666667;52,65517777777778;58,67143333333333;54,15171111111111
MedidorLSD;15/06/2023, 2:15:00;18385,526844444445;5850,994433333333;6679,399333333334;5855,694733333333;1881,3206777777777;314,26917777777777;491,958;1091,7548333333334;0,8956333333333333;0,8796666666666667;0,9237333333333333;0,8832222222222222;126,16596666666666;125,42752222222222;125,22857777777777;52,543622222222226;57,62198888888889;53,03332222222222
MedidorLSD;15/06/2023, 2:30:00;18532,674;5853,999388888889;6744,573844444444;5937,229477777778;1854,6383777777778;312,6441444444444;437,6227333333333;1120,9371444444446;0,8981666666666667;0,8799333333333333;0,9244;0,8857777777777777;126,32513333333333;125,57505555555556;125,37204444444444;52,489866666666664;58,03254444444445;53,57774444444445
MedidorLSD;15/06/2023, 2:45:00;18597,726833333334;5797,377044444444;6865,196922222222;5941,658444444444;2114,638266666667;335,61698888888884;484,81541111111113;1314,3803666666668;0,8943111111111111;0,8759444444444444;0,9267444444444445;0,8800888888888888;126,36063333333333;125,5941111111111;125,35886666666666;52,15943333333333;58,9514;53,89903333333333
MedidorLSD;15/06/2023, 3:00:00;18385,743110102158;5785,027377979569;6686,285505107832;5918,353688989784;1896,7754143019295;348,1361748013621;421,2162315550511;1143,18819523269;0,8939046538024972;0,8755164585698071;0,9233598183881953;0,8832122587968219;126,46646992054484;125,72489216799093;125,50265607264471;52,05870601589103;57,57063564131669;53,43525539160045
MedidorLSD;15/06/2023, 3:15:00;18352,81292222222;5828,987455555555;6655,287633333333;5869,883288888889;1890,222288888889;340,1326222222222;470,8793888888889;1094,8774777777778;0,8953;0,8789888888888889;0,923477777777778;0,883711111111111;126,44352222222221;125,68314444444445;125,46337777777777;52,31066666666666;57,3624;53,02017777777778
MedidorLSD;15/06/2023, 3:30:00;18473,014055555555;5838,293988888889;6706,775288888889;5930,727144444444;1871,1392444444446;337,31781111111115;435,5458666666667;1113,7574444444444;0,8966444444444445;0,8802;0,923188888888889;0,8854777777777777;126,51434444444445;125,75185555555555;125,52443333333333;52,332366666666665;57,70814444444444;53,4354
MedidorLSD;15/06/2023, 3:45:00;18442,3804;5839,686644444444;6728,885622222223;5875,784544444445;1975,0119444444445;330,56194444444446;501,2244333333333;1160,9965888888887;0,8958777777777778;0,8825222222222222;0,925;0,8839222222222222;126,32241111111111;125,5582;125,32837777777779;52,3587;57,96253333333333;53,11051111111111
MedidorLSD;15/06/2023, 4:00:00;18816,988411111113;5881,564944444444;6935,863188888889;6005,042477777778;2056,1912777777775;312,4967222222222;476,6427111111111;1287,379288888889;0,8975333333333333;0,8835222222222222;0,9275;0,8828444444444444;126,36281111111111;125,57074444444444;125,3215111111111;52,67724444444444;59,52428888888889;54,28035555555555
MedidorLSD;15/06/2023, 4:15:00;18487,492755555555;5880,4338;6725,583144444445;5882,429855555556;1876,036022222222;303,65222222222224;488,54743333333334;1100,9455444444445;0,8977;0,8846444444444446;0,924188888888889;0,8846222222222222;126,40795555555556;125,65233333333335;125,4142111111111;52,59336666666667;57,88738888888889;53,04247777777778
MedidorLSD;15/06/2023, 4:30:00;18439,949577777777;5863,530255555556;6707,453055555556;5869,709977777778;1874,865722222222;305,4334777777778;488,6714777777778;1098,7062555555556;0,8973555555555556;0,8844333333333333;0,9236666666666667;0,8844111111111111;126,56927777777778;125,83976666666666;125,59803333333333;52,390788888888885;57,646;52,86688888888889
MedidorLSD;15/06/2023, 4:45:00;18763,774766666666;5867,651277777778;6916,810211111111;5983,652533333334;2036,6434777777777;306,44525555555555;478,74620000000004;1271,628522222222;0,8982111111111111;0,8845111111111111;0,928988888888889;0,8840111111111111;126,53349999999999;125,81951111111111;125,56696666666667;52,40494444444444;59,2006;53,96051111111111
MedidorLSD;15/06/2023, 5:00:00;18505,960255555558;5823,2643333333335;6771,644655555555;5915,353999999999;1959,3743666666667;323,04544444444446;465,13575555555553;1187,783688888889;0,8967444444444445;0,882888888888889;0,9266666666666666;0,8832777777777777;126,20947777777778;125,5092111111111;125,2500111111111;52,222277777777784;58,247411111111106;53,438700000000004
